timestamp,egress,kind,kernel_kind,load,attempt,concurrency,vm_index,launch_ms,exit
2026-05-13T18:18:38+00:00,none,minimal,stripped,idle,18,8,3,1515,0
2026-05-13T18:18:38+00:00,none,minimal,stripped,idle,18,8,4,1515,0
2026-05-13T18:18:38+00:00,none,minimal,stripped,idle,18,8,5,1515,0
2026-05-13T18:18:38+00:00,none,minimal,stripped,idle,18,8,6,1514,0
2026-05-13T18:18:38+00:00,none,minimal,stripped,idle,18,8,7,1515,0
2026-05-13T18:18:39+00:00,none,minimal,stripped,idle,19,8,0,1516,0
2026-05-13T18:18:39+00:00,none,minimal,stripped,idle,19,8,1,1516,0
2026-05-13T18:18:39+00:00,none,minimal,stripped,idle,19,8,2,1516,0
2026-05-13T18:18:39+00:00,none,minimal,stripped,idle,19,8,3,1415,0
2026-05-13T18:18:39+00:00,none,minimal,stripped,idle,19,8,4,1515,0
2026-05-13T18:18:39+00:00,none,minimal,stripped,idle,19,8,5,1516,0
2026-05-13T18:18:39+00:00,none,minimal,stripped,idle,19,8,6,1516,0
2026-05-13T18:18:39+00:00,none,minimal,stripped,idle,19,8,7,1515,0
2026-05-13T18:18:41+00:00,none,minimal,stripped,idle,20,8,0,1516,0
2026-05-13T18:18:41+00:00,none,minimal,stripped,idle,20,8,1,1517,0
2026-05-13T18:18:41+00:00,none,minimal,stripped,idle,20,8,2,1516,0
2026-05-13T18:18:41+00:00,none,minimal,stripped,idle,20,8,3,1515,0
2026-05-13T18:18:41+00:00,none,minimal,stripped,idle,20,8,4,1515,0
2026-05-13T18:18:41+00:00,none,minimal,stripped,idle,20,8,5,1517,0
2026-05-13T18:18:41+00:00,none,minimal,stripped,idle,20,8,6,1515,0
2026-05-13T18:18:41+00:00,none,minimal,stripped,idle,20,8,7,1516,0
2026-05-13T18:18:43+00:00,none,minimal,stripped,idle,21,8,0,1517,0
2026-05-13T18:18:43+00:00,none,minimal,stripped,idle,21,8,1,1517,0
2026-05-13T18:18:43+00:00,none,minimal,stripped,idle,21,8,2,1516,0
2026-05-13T18:18:43+00:00,none,minimal,stripped,idle,21,8,3,1516,0
2026-05-13T18:18:43+00:00,none,minimal,stripped,idle,21,8,4,1515,0
2026-05-13T18:18:43+00:00,none,minimal,stripped,idle,21,8,5,1515,0
2026-05-13T18:18:43+00:00,none,minimal,stripped,idle,21,8,6,1515,0
2026-05-13T18:18:43+00:00,none,minimal,stripped,idle,21,8,7,1515,0
2026-05-13T18:18:45+00:00,none,minimal,stripped,idle,22,8,0,1516,0
2026-05-13T18:18:45+00:00,none,minimal,stripped,idle,22,8,1,1515,0
2026-05-13T18:18:45+00:00,none,minimal,stripped,idle,22,8,2,1515,0
2026-05-13T18:18:45+00:00,none,minimal,stripped,idle,22,8,3,1516,0
2026-05-13T18:18:45+00:00,none,minimal,stripped,idle,22,8,4,1517,0
2026-05-13T18:18:45+00:00,none,minimal,stripped,idle,22,8,5,1515,0
2026-05-13T18:18:45+00:00,none,minimal,stripped,idle,22,8,6,1516,0
2026-05-13T18:18:45+00:00,none,minimal,stripped,idle,22,8,7,1515,0
2026-05-13T18:18:51+00:00,none,minimal,stripped,idle,3,16,0,1516,0
2026-05-13T18:18:51+00:00,none,minimal,stripped,idle,3,16,1,1516,0
2026-05-13T18:18:51+00:00,none,minimal,stripped,idle,3,16,2,1515,0
2026-05-13T18:18:51+00:00,none,minimal,stripped,idle,3,16,3,1514,0
2026-05-13T18:18:51+00:00,none,minimal,stripped,idle,3,16,4,1614,0
2026-05-13T18:18:51+00:00,none,minimal,stripped,idle,3,16,5,1516,0
2026-05-13T18:18:51+00:00,none,minimal,stripped,idle,3,16,6,1515,0
2026-05-13T18:18:51+00:00,none,minimal,stripped,idle,3,16,7,1514,0
